CallbackDate,UnitNo,MainComponentName,vT1,T2,vT3
2025-02-16 21:06:00,U0001,Drive,15,30,15
2025-09-20 23:38:00,U0001,Drive,15,10,0
2025-10-14 08:42:00,U0001,Controller,0,15,5
2025-06-19 03:18:00,U0001,Controller,30,20,20
2025-01-11 07:59:00,U0001,Door,20,15,20
2025-07-15 20:46:00,U0002,Alarm,20,5,20
2025-12-16 17:02:00,U0002,Door,30,10,30
2025-03-11 22:03:00,U0003,Alarm,5,0,30
2025-03-26 23:24:00,U0003,Door,5,30,30
2025-10-25 18:09:00,U0004,Door,0,5,15
2025-09-13 04:51:00,U0004,Other,15,5,20
2025-05-12 08:50:00,U0004,Drive,15,0,0
2025-03-27 12:53:00,U0004,Alarm,20,30,30
2025-02-11 04:24:00,U0004,Door,5,10,20
2025-12-02 03:54:00,U0004,Controller,15,20,5
2025-02-07 04:51:00,U0005,Other,10,5,0
2025-01-28 08:06:00,U0005,Other,5,15,30
2025-09-27 10:53:00,U0005,Alarm,5,5,10
2025-12-22 04:54:00,U0005,Door,30,20,15
2025-05-26 17:11:00,U0005,Door,5,20,10
2025-04-23 21:55:00,U0006,Controller,0,5,10
2025-01-10 23:18:00,U0006,Door,30,15,20
2025-03-15 11:25:00,U0006,Drive,5,5,5
2025-01-03 12:05:00,U0007,Other,5,5,15
2025-11-02 13:40:00,U0007,Other,15,0,0
2025-06-07 13:45:00,U0008,Door,10,15,20
2025-06-23 12:04:00,U0008,Other,10,15,10
2025-05-24 13:20:00,U0008,Drive,15,10,5
2025-11-26 12:39:00,U0008,Controller,0,0,15
2025-02-19 13:16:00,U0008,Door,15,10,15
2025-04-17 20:10:00,U0009,Alarm,20,15,5
2025-01-16 10:24:00,U0009,Other,30,0,20
2025-07-22 13:32:00,U0010,Drive,5,10,10
2025-08-27 18:30:00,U0010,Door,20,20,5
2025-05-21 00:26:00,U0011,Controller,30,0,10
2025-09-27 06:27:00,U0011,Door,0,15,15
2025-12-07 21:46:00,U0011,Controller,0,0,30
2025-05-13 11:36:00,U0012,Door,30,30,15
2025-11-14 03:14:00,U0012,Door,0,10,20
2025-02-19 13:42:00,U0012,Alarm,10,20,15
2025-04-21 17:27:00,U0013,Controller,10,10,15
2025-06-16 01:31:00,U0013,Alarm,20,20,5
2025-11-02 01:22:00,U0013,Alarm,10,0,5
2025-08-25 17:26:00,U0014,Drive,20,0,0
2025-12-03 06:44:00,U0014,Drive,0,15,5
2025-09-27 11:04:00,U0014,Controller,5,20,10
2025-04-04 15:20:00,U0015,Drive,0,30,15
2025-11-24 14:14:00,U0015,Door,10,5,15
2025-03-06 14:45:00,U0015,Alarm,10,5,20
2025-12-21 17:04:00,U0015,Alarm,5,10,10
2025-11-09 20:51:00,U0015,Controller,0,20,10
2025-04-20 00:00:00,U0016,Alarm,15,30,15
2025-11-24 15:14:00,U0016,Door,20,30,5
